TransNumItems,MedianTotal,MinTotal,MaxTotal
12,1299.3823,600.05524,1999.9167
1,1297.1353,600.0492,1999.9565
13,1302.594,600.0036,1999.9525
6,1291.9495,600.0076,1999.9619
3,1296.2745,600.0245,1999.9977
5,1301.4688,600.0399,1999.951
15,1307.9437,600.01587,1999.9785
9,1302.9761,600.01373,1999.9081
4,1295.7749,600.03577,1999.9976
8,1302.3468,600.00006,1999.9717
7,1298.1576,600.0065,1999.972
10,1303.396,600.1791,1999.8948
11,1299.3511,600.05035,1999.9783
14,1302.3279,600.0056,1999.9882
2,1294.0648,600.07916,1999.9869
